PairID,Algorithm,X,Y,Z
2,RRT,1.24332,0.319025,1.04768
2,RRT,1.23865,0.328577,1.04465
2,RRT,1.2337,0.338035,1.04158
2,RRT,1.22848,0.347395,1.03848
2,RRT,1.223,0.356651,1.03535
2,RRT,1.21724,0.365796,1.03218
2,RRT,1.21122,0.374826,1.02898
2,RRT,1.20494,0.383735,1.02574
2,RRT,1.1984,0.392516,1.02246
2,RRT,1.19161,0.401164,1.01914
2,RRT,1.18455,0.409674,1.01579
2,RRT,1.17725,0.41804,1.01239
2,RRT,1.1697,0.426256,1.00895
2,RRT,1.16191,0.434316,1.00547
2,RRT,1.15387,0.442215,1.00195
2,RRT,1.14559,0.449947,0.998382
2,RRT,1.13708,0.457507,0.994769
2,RRT,1.12834,0.464889,0.99111
2,RRT,1.11938,0.472088,0.987404
2,RRT,1.11019,0.479098,0.983649
2,RRT,1.10078,0.485913,0.979844
2,RRT,1.09116,0.492529,0.975989
2,RRT,1.08133,0.498941,0.972081
2,RRT,1.07129,0.505142,0.96812
2,RRT,1.06105,0.511127,0.964104
2,RRT,1.05062,0.516892,0.960032
2,RRT,1.04,0.522432,0.955904
2,RRT,1.02919,0.527741,0.951717
2,RRT,1.01821,0.532814,0.94747
2,RRT,1.00705,0.537647,0.943163
2,RRT,0.995723,0.542235,0.938794
2,RRT,0.984234,0.546573,0.934361
2,RRT,0.97259,0.550657,0.929864
2,RRT,0.960796,0.554482,0.925301
2,RRT,0.948859,0.558044,0.920671
2,RRT,0.936785,0.561339,0.915973
2,RRT,0.924582,0.564362,0.911205
2,RRT,0.912255,0.567109,0.906367
2,RRT,0.899813,0.569578,0.901458
2,RRT,0.887262,0.571763,0.896475
2,RRT,0.874609,0.573662,0.891419
2,RRT,0.861862,0.575271,0.886287
2,RRT,0.849029,0.576587,0.88108
2,RRT,0.836117,0.577606,0.875796
2,RRT,0.823135,0.578327,0.870433
2,RRT,0.810089,0.578746,0.864992
2,RRT,0.79699,0.578861,0.859471
2,RRT,0.783844,0.578669,0.853869
2,RRT,0.77066,0.578168,0.848185
2,RRT,0.757447,0.577357,0.84242
2,RRT,0.744213,0.576234,0.836571
2,RRT,0.730967,0.574797,0.830639
2,RRT,0.717718,0.573046,0.824622
